customer_id,name,plan_type,region
1001,Aryan Rao,Prepaid,Kochi
1002,Kiara Bose,Prepaid,Chennai
1003,Dhruv Reddy,Prepaid,Ahmedabad
1004,Suresh Patel,Prepaid,Mumbai
1005,Ira Desai,Prepaid,Chandigarh
1006,Diya Dhillon,Postpaid,Kolkata
1007,Rajesh Ghosh,Postpaid,Indore
1008,Ishita Sharma,Prepaid,Kochi
1009,Suresh Banerjee,Postpaid,Chennai
1010,Ira Banerjee,Prepaid,Mumbai
1011,Karan Reddy,Postpaid,Nagpur
1012,Rohan Roy,Postpaid,Indore
1013,Aditya Deshpande,Prepaid,Surat
1014,Karan Gupta,Postpaid,Nagpur
1015,Aryan Choudhury,Postpaid,Ahmedabad
1016,Diya Dhillon,Prepaid,Delhi
1017,Kabir Desai,Postpaid,Mumbai
1018,Avni Desai,Prepaid,Hyderabad
1019,Kiara Deshpande,Postpaid,Chennai
1020,Rahul Chatterjee,Prepaid,Lucknow
1021,Kiara Kaur,Prepaid,Ahmedabad
1022,Aryan Mehta,Prepaid,Chennai
1023,Ankit Saxena,Postpaid,Surat
1024,Aryan Kaur,Prepaid,Lucknow
1025,Ravi Kumar,Prepaid,Nagpur
1026,Aditya Agarwal,Postpaid,Pune
1027,Sai Das,Postpaid,Kolkata
1028,Dev Trivedi,Postpaid,Surat
1029,Tara Jadhav,Postpaid,Chennai
1030,Sara Nair,Prepaid,Kochi
1031,Anjali Pillai,Postpaid,Kochi
1032,Ritu Joshi,Postpaid,Bengaluru
1033,Prisha Nair,Postpaid,Mumbai
1034,Arnav Kumar,Prepaid,Chennai
1035,Aryan Mehta,Postpaid,Ahmedabad
1036,Sai Saxena,Postpaid,Ahmedabad
1037,Ankit Krishnan,Postpaid,Chandigarh
1038,Ishita Sharma,Prepaid,Lucknow
1039,Nisha Pillai,Postpaid,Indore
1040,Dev Banerjee,Prepaid,Pune
1041,Suresh Mehta,Postpaid,Delhi
1042,Aayush Kapoor,Prepaid,Chandigarh
1043,Tara Reddy,Postpaid,Nagpur
1044,Aryan Menon,Prepaid,Chennai
1045,Rahul Mehta,Prepaid,Ahmedabad
1046,Ravi Trivedi,Prepaid,Mumbai
1047,Zara Mukherjee,Postpaid,Kolkata
1048,Arjun Bose,Prepaid,Mumbai
1049,Aayush Trivedi,Prepaid,Indore
1050,Divya Nair,Prepaid,Lucknow
1051,Priya Naidu,Prepaid,Pune
1052,Sneha Roy,Postpaid,Kolkata
1053,Zara Pillai,Prepaid,Kochi
1054,Navya Mishra,Postpaid,Jaipur
1055,Meera Krishnan,Postpaid,Mumbai
1056,Saanvi Desai,Prepaid,Bengaluru
1057,Vivaan Ghosh,Prepaid,Ahmedabad
1058,Prisha Sharma,Prepaid,Kochi
1059,Aryan Kumar,Prepaid,Mumbai
1060,Meera Patel,Postpaid,Mumbai
1061,Pooja Bose,Postpaid,Lucknow
1062,Neha Das,Prepaid,Kochi
1063,Zara Sinha,Postpaid,Kolkata
1064,Anaya Bhatt,Postpaid,Kolkata
1065,Krishna Reddy,Postpaid,Bengaluru
1066,Suresh Pandey,Postpaid,Nagpur
1067,Aayush Kumar,Prepaid,Delhi
1068,Vikram Banerjee,Prepaid,Kolkata
1069,Diya Jain,Postpaid,Chennai
1070,Suresh Shah,Postpaid,Jaipur
1071,Saanvi Singh,Postpaid,Indore
1072,Ishita Naidu,Prepaid,Delhi
1073,Dev Pillai,Prepaid,Mumbai
1074,Zara Bose,Prepaid,Hyderabad
1075,Neha Bhatt,Prepaid,Nagpur
1076,Vikram Kumar,Prepaid,Hyderabad
1077,Aarav Saxena,Postpaid,Surat
1078,Anaya Deshpande,Postpaid,Hyderabad
1079,Advait Naidu,Postpaid,Chennai
1080,Diya Khanna,Prepaid,Delhi
1081,Ritu Pillai,Prepaid,Kochi
1082,Ravi Kumar,Prepaid,Ahmedabad
1083,Priya Menon,Prepaid,Delhi
1084,Pooja Gupta,Prepaid,Mumbai
1085,Kavita Singh,Prepaid,Hyderabad
1086,Ishaan Sinha,Prepaid,Ahmedabad
1087,Kavita Patel,Prepaid,Hyderabad
1088,Kabir Ghosh,Postpaid,Surat
1089,Sara Das,Postpaid,Kolkata
1090,Sara Mishra,Prepaid,Lucknow
1091,Dev Chopra,Postpaid,Bengaluru
1092,Zara Singh,Prepaid,Jaipur
1093,Preeti Sinha,Prepaid,Mumbai
1094,Divya Das,Postpaid,Chennai
1095,Zara Chatterjee,Prepaid,Surat
1096,Saanvi Mukherjee,Postpaid,Chennai
1097,Rajesh Pillai,Postpaid,Ahmedabad
1098,Myra Jadhav,Prepaid,Lucknow
1099,Anika Naidu,Postpaid,Surat
1100,Kabir Reddy,Prepaid,Pune
1101,Ishaan Reddy,Prepaid,Pune
1102,Aarohi Roy,Prepaid,Kochi
1103,Amit Das,Postpaid,Chandigarh
1104,Neha Kapoor,Prepaid,Mumbai
1105,Aryan Joshi,Postpaid,Delhi
1106,Aarav Banerjee,Prepaid,Lucknow
1107,Sara Mehta,Postpaid,Chandigarh
1108,Reyansh Joshi,Prepaid,Mumbai
1109,Sai Kaur,Prepaid,Chandigarh
1110,Aditya Mukherjee,Prepaid,Hyderabad
1111,Shaurya Patel,Postpaid,Bengaluru
1112,Meera Patel,Postpaid,Kolkata
1113,Vihaan Bose,Prepaid,Bengaluru
1114,Shivansh Naidu,Postpaid,Ahmedabad
1115,Dhruv Iyer,Prepaid,Nagpur
1116,Aadhya Shah,Postpaid,Delhi
1117,Ananya Banerjee,Postpaid,Indore
1118,Kabir Bose,Postpaid,Chennai
1119,Anaya Kaur,Prepaid,Hyderabad
1120,Ishita Patel,Postpaid,Kolkata
1121,Diya Deshpande,Postpaid,Pune
1122,Anika Desai,Prepaid,Delhi
1123,Kabir Jain,Postpaid,Bengaluru
1124,Kiara Singh,Postpaid,Bengaluru
